id,naam,straat,huisnr,postcode,plaats,lat,lon,soort
v-0000,Hanna van der Meer,Jozef Israelslaan,62,4382VN,Vlissingen,51.453489,3.5767203,krant
v-0001,Jan van der Meer,Coosje Buskenstraat,151,4381LD,Vlissingen,51.445205,3.5715162,folder
v-0002,Kees Vos,Multatulilaan,1,4382BZ,Vlissingen,51.4526339,3.556649,folder
v-0003,Pieter de Boer,Van Hogendorpweg,164,4384HD,Vlissingen,51.4629671,3.5519983,krant
v-0004,Lieke de Boer,Van Hogendorpweg,164,4384HD,Vlissingen,51.4629671,3.5519983,krant
v-0005,Lieke de Vries,Bellamypark,9,4381CG,Vlissingen,51.4413967,3.5733723,folder
v-0006,Lieke de Vries,Bellamypark,9,4381CG,Vlissingen,51.4413967,3.5733723,krant
v-0007,Teun van Leeuwen,Bloemenlaan,125,4382SK,Vlissingen,51.4549917,3.5725902,krant
v-0008,Femke de Wit,Schubertlaan,34,4384LN,Vlissingen,51.464819,3.542746,krant
v-0009,Anna de Bruin,Boulevard Bankert,408,4382AC,Vlissingen,51.4471294,3.5630186,krant
v-0010,Kees van der Meer,Marinestraat,21,4381AW,Vlissingen,51.4414495,3.5806566,folder
v-0011,Gijs Kuipers,Spuistraat,12a,4381HR,Vlissingen,51.4425522,3.5729917,krant
v-0012,Iris Smits,Blikkenburg,103,4385HJ,Vlissingen,51.4626412,3.5708859,krant
v-0013,Bram van den Berg,Ruys de Beerenbrouckstraat,41,4384EP,Vlissingen,51.4622625,3.5533007,folder
v-0014,Pieter van den Berg,Ruys de Beerenbrouckstraat,41,4384EP,Vlissingen,51.4622625,3.5533007,krant
v-0015,Sem Brouwer,Edisonweg,7a,4382NV,Vlissingen,51.4500057,3.5873255,krant
v-0016,Sem Brouwer,Edisonweg,7a,4382NV,Vlissingen,51.4500057,3.5873255,folder
v-0017,Roos Smits,Badhuisstraat,34,4381LT,Vlissingen,51.4460497,3.5707242,folder
v-0018,Teun Smits,Badhuisstraat,34,4381LT,Vlissingen,51.4460497,3.5707242,krant
v-0019,Teun Smits,Badhuisstraat,34,4381LT,Vlissingen,51.4460497,3.5707242,folder
v-0020,Hanna Maas,Boulevard Bankert,20,4382AA,Vlissingen,51.4440256,3.568361,krant
v-0021,Otto Bakker,Pablo Picassoplein,139,4382KB,Vlissingen,51.4536301,3.5671931,krant
v-0022,Marijke Hendriks,Noorderbaan,84,4386CB,Vlissingen,51.4669867,3.5844662,krant
v-0023,Roos van Dijk,Bloemenlaan,55,4382SE,Vlissingen,51.4527809,3.5728285,krant
v-0024,Daan de Bruin,Gildeweg,16-08,4383NK,Vlissingen,51.4571991,3.5865576,krant
v-0025,Johanna van den Berg,Boulevard Bankert,224,4382AC,Vlissingen,51.446062,3.5646896,krant
v-0026,Sanne Vos,Singel,233,4381VJ,Vlissingen,51.4500618,3.5781947,folder
v-0027,Kees Dijkstra,Oudstraat,14-G2,,Vlissingen,51.4625992,3.5581485,folder
